Player,Team,salary2017_18
DJ Augustin,ORL,7250000
DJ Wilson,MIL,2135040
Domantas Sabonis,IND,2550000
Donovan Mitchell,UTA,2621280
Dorian Finney-Smith,DAL,1312611
Doug McDermott,DAL,3294994
Dragan Bender,PHO,4468800
Draymond Green,GSW,16400000
Dwayne Bacon,CHO,815615
Dwight Buycks,DET,748160
Dwight Howard,CHO,23500000
Dwight Powell,DAL,9003125
Dwyane Wade,CHI,15550000
Dwyane Wade,MIA,2328652
E'Twaun Moore,NOP,8445024
Ed Davis,POR,6352531
Ekpe Udoh,UTA,3200000
Elfrid Payton,PHO,3332340
Emeka Okafor,NOP,239204
Emmanuel Mudiay,NYK,3381480
Enes Kanter,NYK,20566802
Eric Bledsoe,MIL,14500000
Eric Gordon,HOU,12943020
Eric Griffin,UTA,50000
Eric Moreland,DET,1739333
Ersan Ilyasova,ATL,6000000
Ersan Ilyasova,PHI,502328
Evan Fournier,ORL,17000000
Evan Turner,POR,17131148
Festus Ezeli,POR,333334
Frank Jackson,NOP,815615
Frank Kaminsky,CHO,2847600
Frank Mason,SAC,1184385
Frank Ntilikina,NYK,3501120
Fred VanVleet,TOR,1312611
Furkan Korkmaz,PHI,1465920
Gal Mekel,DAL,315760
Garrett Temple,SAC,8000000
Gary Harris,DEN,2550055
Gary Payton II,MIL,50000
George Hill,CLE,20000000
Georges Niang,IND,100000
Georgios Papagiannis,SAC,2301360
Georgios Papagiannis,POR,74159
Gerald Green,HOU,947248
Gerald Henderson,PHI,1000000
Gian Clavell,DAL,50000
Giannis Antetokounmpo,MIL,22471910
Glenn Robinson III,IND,1524305
Goran Dragic,MIA,17000450
Gordon Hayward,BOS,29727900
Gorgui Dieng,MIN,14112360
Greg Monroe,PHO,17884176
Greg Monroe,BOS,5000000
Guerschon Yabusele,BOS,2247480
Harrison Barnes,DAL,23112004
Harry Giles,SAC,1859400
Hassan Whiteside,MIA,23775506
Henry Ellenson,DET,1780800
Ian Clark,NOP,1577230
Ian Mahinmi,WAS,16661641
Ike Anigbogu,IND,950000
Iman Shumpert,SAC,10337079
Isaiah Canaan,PHO,1069308
Isaiah Canaan,CHI,200000
Isaiah Canaan,HOU,53465
Isaiah Taylor,ATL,1312611
Isaiah Thomas,LAL,6261395
Isaiah Whitehead,BRK,1312611
Ish Smith,DET,6000000
Ivan Rabb,MEM,950000
Ivica Zubac,LAL,1312611
Jabari Parker,MIL,6782392
Jacob Pullen,PHI,50000
Jae Crowder,UTA,6796117
Jahlil Okafor,BRK,4995120
Jake Layman,POR,1312611
Jakob Poeltl,TOR,2825640
Jalen Moore,MIL,50000
Jamal Crawford,ATL,10942762
Jamal Crawford,MIN,4328000
Jamal Murray,DEN,3355320
Jameel Warney,DAL,46080
Jameer Nelson,DEN,4736050
Jameer Nelson,DET,2262871
James Ennis III,DET,3028410
James Harden,HOU,28299399
James Johnson,MIA,13954000
James Michael McAdoo,PHI,50000
Jamil Wilson,LAC,50000
JaMychal Green,MEM,8533333
Jared Dudley,PHO,10000000
Jarell Eddie,BOS,83129
Jarell Eddie,CHI,83129
Jarell Eddie,CHI,17224
Jarell Martin,MEM,1471382
Jarrett Allen,BRK,1713720
Jarrett Jack,NYK,2328652
Jason Smith,WAS,5225000
Jason Terry,MIL,2328652
Jason Thompson,GSW,945126
JaVale McGee,GSW,2116955
Jawun Evans,LAC,815615
Jaylen Brown,BOS,4956480
Jaylen Morris,ATL,92160
Jayson Tatum,BOS,5645400
Jeff Green,CLE,2116955
Jeff Teague,MIN,19000000
Jeff Withey,DAL,1577320
Jerami Grant,OKC,1524305
Jeremy Evans,ATL,104059
Jeremy Evans,ATL,50000
Jeremy Lamb,CHO,7000000
Jeremy Lin,BRK,12000000
Jerian Grant,CHI,1713840
Jerryd Bayless,PHI,9000000
Jimmy Butler,MIN,19301070
JJ Barea,DAL,3903900
JJ Redick,PHI,23000000
Joakim Noah,NYK,17765000
Jodie Meeks,WAS,3290000
Joe Harris,BRK,1524305
Joe Ingles,UTA,14136364
Joe Johnson,SAC,9505000
Joe Johnson,HOU,749905
Joe Young,IND,1471382
Joel Bolomboy,UTA,1312611
Joel Bolomboy,MIL,22248
Joel Embiid,PHI,6100266
Joffrey Lauvergne,SAS,1524305
John Collins,ATL,1936920
John Henson,MIL,11422536
John Wall,WAS,18063850
Johnny O'Bryant III,NYK,1524305
Jon Leuer,DET,10497319
Jonas Jerebko,UTA,4000000
Jonas Valanciunas,TOR,15460675
Jonathan Isaac,ORL,4186320
Jonathon Simmons,ORL,6300000
Jordan Bell,GSW,815615
Jordan Clarkson,CLE,11562500
Jordan Crawford,NOP,250000
Jordan Farmar,LAC,510921
Jordan Mickey,MIA,1471382
Jose Calderon,CLE,2328652
Josh Gray,PHO,92160
Josh Hart,LAL,1394520
Josh Huestis,OKC,1471382
Josh Jackson,PHO,5090040
Josh McRoberts,DAL,6021175
Josh Richardson,MIA,1471382
Josh Smith,DET,5400000
Josh Smith,NOP,2183934
JR Smith,CLE,13760000
Jrue Holiday,NOP,25686667
Juan Hernangomez,DEN,2076840
Julius Randle,LAL,4149242
Julyan Stone,CHO,1524305
Justin Anderson,PHI,1579440
Justin Hamilton,TOR,1000000
Justin Holiday,CHI,4615385
Justin Jackson,SAC,2365560
Justin Patton,MIN,2247480
Justise Winslow,MIA,2705040
Jusuf Nurkic,POR,2947305
Karl-Anthony Towns,MIN,6216840
Kawhi Leonard,SAS,18868625
Kay Felder,CHI,1312611
Kelly Olynyk,MIA,10607169
Kelly Oubre,WAS,2093040
Kemba Walker,CHO,12000000
Kenneth Faried,DEN,12921348
Kent Bazemore,ATL,16910113
Kentavious Caldwell-Pope,LAL,17745894
Kevin Durant,GSW,25000000
Kevin Love,CLE,22642350
Kevin Martin,MIN,1360305
Kevon Looney,GSW,1471382
Khem Birch,ORL,815615
Khris Middleton,MIL,14100000
KJ McDaniels,TOR,100000
Klay Thompson,GSW,17826150
Kosta Koufos,SAC,8393000
Kris Dunn,CHI,4046760
Kristaps Porzingis,NYK,4503600
Kyle Anderson,SAS,2151704
Kyle Collinsworth,DAL,92160
Kyle Collinsworth,DAL,50000
Kyle Korver,CLE,7000000
Kyle Kuzma,LAL,1423560
Kyle Lowry,TOR,28703704
Kyle O'Quinn,NYK,4087500
Kyle Singler,OKC,4666500
Kyrie Irving,BOS,18868625
LaMarcus Aldridge,SAS,21461010
Lance Stephenson,IND,4180000
Lance Thomas,NYK,6655325
Langston Galloway,DET,6666667
Larry Drew,NOP,148318
Larry Nance,CLE,1471382
Larry Sanders,MIL,1865547
Lauri Markkanen,CHI,3821640
Le'Bryan Nash,HOU,46080
Leandro Barbosa,PHO,500000
LeBron James,CLE,33285709
Livio Jean-Charles,SAS,1035200
Lonzo Ball,LAL,6286560
Lou Williams,LAC,7000000
Luc Mbah a Moute,HOU,2116955
Lucas Nogueira,TOR,2947305
Luis Montero,DET,50000
Luke Babbitt,MIA,1974159
Luke Kennard,DET,2759280
Luol Deng,LAL,17190000
Malachi Richardson,TOR,1504560
Malcolm Brogdon,MIL,1312611
Malcolm Delaney,ATL,2500000
Malik Beasley,DEN,1700640
Malik Monk,CHO,2904480
Manu Ginobili,SAS,2500000
Marc Gasol,MEM,22642350
Marcin Gortat,LAC,12782609
Marco Belinelli,ATL,6306060
Marco Belinelli,PHI,776217
Marcus Georges-Hunt,MIN,1312611
Marcus Morris,BOS,5000000
Marcus Smart,BOS,4538020
Marcus Thornton,CLE,46080
Mario Chalmers,MEM,2106407
Mario Hezonja,ORL,4078320
Markelle Fultz,PHI,7026240
Markieff Morris,WAS,8000000
Marquese Chriss,PHO,3073800
Marquis Teague,MEM,83129
Marreese Speights,ORL,2116955
Marshall Plumlee,NYK,100000
MarShon Brooks,MEM,86119
Martell Webster,WAS,830000
Marvin Williams,CHO,13168750
Mason Plumlee,DEN,14041096
Matt Barnes,SAC,2133542
Matt Williams,MIA,50000
Matthew Dellavedova,MIL,9607500
Maurice Harkless,POR,10162922
Maxi Kleber,DAL,815615
Meyers Leonard,POR,9904495
Michael Beasley,NYK,2116955
Michael Carter-Williams,CHO,2700000
Michael Gbinije,DET,500000
Michael Kidd-Gilchrist,CHO,13000000
Michael Young,WAS,50000
Mike Conley,MEM,28530608
Mike Dunleavy,ATL,1662500
Mike James,PHO,87552
Mike Muscala,ATL,5000000
Mike Scott,WAS,1709538
Miles Plumlee,ATL,12500000
Milos Teodosic,LAC,6000000
Mindaugas Kuzminskas,NYK,3025035
Miroslav Raduljica,LAC,300000
Mirza Teletovic,MIL,10500000
Monta Ellis,IND,2245400
Montrezl Harrell,LAC,1471382
Myles Turner,IND,2569920
Nate Wolters,UTA,50000
Naz Mitrou-Long,UTA,92160
Naz Mitrou-Long,UTA,50000
Nemanja Bjelica,MIN,3949999
Nene,HOU,3477600
Nerlens Noel,DAL,4187599
Nick Collison,OKC,2328652
Nick Young,GSW,5192000
Nicolas Batum,CHO,22434783
Nicolas Brussino,ATL,1312611
Nigel Hayes,TOR,92160
Nigel Hayes,NYK,50000
Nigel Hayes,LAL,46080
Nik Stauskas,BRK,3807146
Nikola Jokic,DEN,1471382
Nikola Mirotic,NOP,12500000
Nikola Pekovic,MIN,11600000
Nikola Vucevic,ORL,12250000
Noah Vonleh,CHI,3505233
Norman Powell,TOR,1471382
OG Anunoby,TOR,1645200
Okaro White,ATL,1312611
Okaro White,CLE,74159
Omer Asik,CHI,10595505
Omri Casspi,GSW,2106470
Otto Porter Jr.,WAS,24773250
Pascal Siakam,TOR,1312611
Pat Connaughton,POR,1471382
Patrick Beverley,LAC,5513514
Patrick McCaw,GSW,1312611
Patrick Patterson,OKC,5192000
Patty Mills,SAS,10714286
Pau Gasol,SAS,16000000
Paul George,OKC,19508958
Paul Millsap,DEN,31269231
Paul Pierce,LAC,1096080
Paul Zipser,CHI,1312611
PJ Tucker,HOU,7590035
Quincy Acy,BRK,1709538
Quincy Pondexter,CHI,3853931
Quinn Cook,ATL,100000
Quinn Cook,NOP,25000
Rade Zagorac,MEM,950000
Rajon Rondo,NOP,3300000
Rajon Rondo,CHI,3000000
Rakeem Christmas,IND,172552
Ramon Sessions,NYK,2328652
Ramon Sessions,WAS,263124
Rashad Vaughn,NOP,1889040
Rashad Vaughn,ORL,166258
Raul Neto,UTA,1471382
Raymond Felton,OKC,2328652
Reggie Bullock,DET,2500000
Reggie Jackson,DET,16000000
Richard Jefferson,ATL,2500000
Richard Jefferson,DEN,2328652
Richaun Holmes,PHI,1471382
Ricky Rubio,UTA,14275000
Robert Covington,PHI,16698103
Robin Lopez,CHI,13788500
Rodney Hood,CLE,2386864
Rodney McGruder,MIA,1312611
Rodney Purvis,ORL,92160
Ron Baker,NYK,4328000
Rondae Hollis-Jefferson,BRK,1471382
Ronnie Price,OKC,2442455
Royce O'Neale,UTA,815615
Rudy Gay,SAS,8406000
Rudy Gobert,UTA,21974719
Russell Westbrook,OKC,28530608
Ryan Anderson,HOU,19578455
Salah Mejri,DAL,1471382
Sam Dekker,LAC,1794600
Scotty Hopson,DAL,74159
Sean Kilpatrick,BRK,1524305
Sean Kilpatrick,MIL,789725
Sean Kilpatrick,LAC,172238
Semi Ojeleye,BOS,1291892
Serge Ibaka,TOR,20061729
Seth Curry,DAL,3028410
Shabazz Muhammad,MIN,1577230
Shabazz Napier,POR,2361360
Shane Larkin,BOS,1524305
Shaquille Harrison,PHO,92160
Shaun Livingston,GSW,7692308
Sheldon Mac,ATL,1312611
Shelvin Mack,ORL,6000000
Sindarius Thornwell,LAC,815615
Skal Labissiere,SAC,1312611
Solomon Hill,NOP,12236535
Spencer Dinwiddie,BRK,1524305
Spencer Hawes,MIL,6021175
Stanley Johnson,DET,3097800
Stephen Curry,GSW,34682550
Stephen Zimmerman,LAL,1312611
Sterling Brown,MIL,815615
Steven Adams,OKC,22471910
Taj Gibson,MIN,14000000
Tarik Black,HOU,3290000
Taurean Waller-Prince,ATL,2422560
Terrance Ferguson,OKC,1785000
Terrence Ross,ORL,10500000
Terry Rozier,BOS,1988520
Thabo Sefolosha,UTA,5250000
Thaddeus Young,IND,14796348
Thomas Bryant,LAL,815615
Thon Maker,MIL,2684160
Tibor Pleiss,PHI,500000
Tim Duncan,SAS,1881250
Tim Frazier,WAS,2000000
Tim Hardaway Jr.,NYK,16500000
Timofey Mozgov,BRK,15280000
Timothe Luwawu-Cabarrot,PHI,1386600
TJ Leaf,IND,2028360
TJ McConnell,PHI,1471382
TJ Warren,PHO,3152931
Tobias Harris,LAC,16000000
Tomas Satoransky,WAS,3000000
Tony Allen,CHI,2116955
Tony Bradley,UTA,1414920
Tony Parker,SAS,15453126
Tony Snell,MIL,9821429
Travis Wear,LAL,148318
Treveon Graham,CHO,1312611
Trevor Ariza,HOU,7420912
Trevor Booker,PHI,9125000
Trey Burke,NYK,784160
Trey Lyles,DEN,2441400
Trey McKinney-Jones,IND,46080
Tristan Thompson,CLE,16400000
Troy Daniels,PHO,3408520
Troy Williams,HOU,1471382
Troy Williams,NYK,148318
Tyler Cavanaugh,ATL,679919
Tyler Cavanaugh,ATL,50000
Tyler Dorsey,ATL,815615
Tyler Ennis,LAL,1524305
Tyler Johnson,MIA,5881260
Tyler Lydon,DEN,1579440
Tyler Ulis,PHO,1312611
Tyler Zeller,MIL,1709538
Tyreke Evans,MEM,3290000
Tyson Chandler,PHO,13000000
Tyus Jones,MIN,1471382
Udonis Haslem,MIA,2328652
Vander Blue,LAL,50000
Victor Oladipo,IND,21000000
Vince Carter,SAC,8000000
Vince Hunter,MEM,50000
VJ Beachem,LAL,50000
Wade Baldwin IV,MEM,1874400
Wade Baldwin,POR,222476
Walt Lemon Jr.,NOP,92160
Wayne Ellington,MIA,6270000
Wayne Selden,MEM,1312611
Wesley Iwundu,ORL,1050000
Wesley Johnson,LAC,5881260
Wesley Matthews,DAL,17884176
Will Barton,DEN,3533333
Willie Cauley-Stein,SAC,3704160
Willie Reed,CHI,1577230
Willy Hernangomez,CHO,1435750
Wilson Chandler,DEN,12016854
Xavier Rathan-Mayes,MEM,46080
Xavier Silas,BOS,74159
Yakuba Ouattara,BRK,50000
Yogi Ferrell,DAL,1312611
Zach Collins,POR,3057240
Zach LaVine,CHI,3202217
Zach Randolph,SAC,12307692
Zaza Pachulia,GSW,3477600
Zhou Qi,HOU,815615
